Epoch,Loss,MSE,MAE
1,0.05630059282249603,0.05630059282249603,0.1679696484667356
2,0.025420091389754755,0.025420091389754755,0.1283977196597662
1,0.06470135286389316,0.06470135286389316,0.1820562591806787
2,0.025749040874423552,0.025749040874423552,0.12937154242249785
3,0.025481489028964865,0.025481489028964865,0.12847696623352708
4,0.022758952418311697,0.022758952418311697,0.12137303831147365
5,0.021966681785148677,0.021966681785148677,0.1182367914035672
6,0.021151422324483513,0.021151422324483513,0.1165964235780669
7,0.020942198021001505,0.020942198021001505,0.11577315225464399
8,0.019460210485047983,0.019460210485047983,0.11242277150759931
9,0.02071648399482985,0.02071648399482985,0.11589898144612547
10,0.019578458680236926,0.019578458680236926,0.11237343803780978
11,0.01890004789609401,0.01890004789609401,0.11052820599469983
12,0.017864383680776495,0.017864383680776495,0.10788590228948437
13,0.018953840828454884,0.018953840828454884,0.11092653809512248
14,0.01733854686322271,0.01733854686322271,0.10650564962234653
15,0.017221506776624037,0.017221506776624037,0.10518820974670473
16,0.016457505524158478,0.016457505524158478,0.10319002058173789
17,0.01672525045110798,0.01672525045110798,0.10366531192767815
18,0.016331103447152943,0.016331103447152943,0.10264652222394943
19,0.016820512788339716,0.016820512788339716,0.10412979260331294
20,0.015951275718627405,0.015951275718627405,0.10142972906593417
21,0.015220428725368664,0.015220428725368664,0.09902608199197738
22,0.016193035852591523,0.016193035852591523,0.10242163047927325
23,0.015397229056316809,0.015397229056316809,0.099504361387159
24,0.015665509921239048,0.015665509921239048,0.10075382021118383
25,0.015854368352743446,0.015854368352743446,0.10101561907862054
26,0.015588411847587491,0.015588411847587491,0.10065213468719701
27,0.015304082935889725,0.015304082935889725,0.09878750804994928
28,0.014657581942613985,0.014657581942613985,0.09719986645657508
29,0.015587146958855332,0.015587146958855332,0.10110725999855605
30,0.015537498793641075,0.015537498793641075,0.10017098510851626
31,0.015318938790530454,0.015318938790530454,0.09946047490248915
32,0.015097366332946742,0.015097366332946742,0.09814236227606164
33,0.014882919706831702,0.014882919706831702,0.09796411531870483
34,0.014779703218306675,0.014779703218306675,0.0978602188043907
35,0.014720916885455123,0.014720916885455123,0.09743080862232896
36,0.014477531234810099,0.014477531234810099,0.096249484625019
37,0.014164081331892092,0.014164081331892092,0.09567820402930995
38,0.014459574488220646,0.014459574488220646,0.09635978179876922
39,0.01382700128664003,0.01382700128664003,0.09463747590780258
40,0.013657785845218135,0.013657785845218135,0.09392457931745248
41,0.01405940841516999,0.01405940841516999,0.09474718045504367
42,0.0146150826781866,0.0146150826781866,0.09680953347047822
43,0.01467835541326003,0.01467835541326003,0.09731496638450467
44,0.014140276215420883,0.014140276215420883,0.0947839798497372
45,0.013383139176752235,0.013383139176752235,0.09283271199855649
46,0.013811796460850317,0.013811796460850317,0.09402249277126594
47,0.013961826863347506,0.013961826863347506,0.09490323665200687
