Epoch,Loss,MSE,MAE
1,3.9315060256049037,0.0644509184525394,0.2538718543922099
2,1.0902171172201633,0.017872411757707596,0.13368773974343195
3,0.9347644280642271,0.015324007017446345,0.12379017334767063
4,0.9128825115039945,0.014965287073835975,0.1223326901275206
5,0.7752819615416229,0.012709540353141358,0.11273659722176006
6,0.7755108228884637,0.012713292178499406,0.11275323577839975
7,0.7091186484321952,0.011624895875937626,0.10781881039938081
8,0.7213487704284489,0.011825389679154901,0.1087446075865599
9,0.6666294140741229,0.010928351050395458,0.10453875382075041
10,0.6956453509628773,0.011404022146932414,0.10678961628797255
11,0.6423858487978578,0.010530915554063242,0.1026202492399197
12,0.6296122930943966,0.010321513001547485,0.10159484731790036
13,0.6232858239673078,0.010217800392906685,0.10108313604606203
14,0.6240027488674968,0.0102295532601229,0.10114125399718406
15,0.6185441808775067,0.01014006853897552,0.100697907321729
16,0.5639833025634289,0.009245627910875883,0.09615418821286924
17,0.5748340794816613,0.009423509499699365,0.09707476242412012
18,0.5225018460769206,0.008565604034047878,0.09255054853455963
19,0.5663269804790616,0.009284048860312486,0.09635376931035176
20,0.59947948041372,0.00982753246579869,0.09913391178501275
21,0.5676146000623703,0.009305157378071645,0.09646324366343714
22,0.49872761545702815,0.008175862548475871,0.0904204763782843
23,0.5135561022907495,0.008418952496569664,0.0917548499893584
24,0.4944602167233825,0.008105905192186598,0.0900328006461345
25,0.4907859480008483,0.008045671278702432,0.08969766596017106
26,0.4475312577560544,0.0073365779960008915,0.08565382651114246
27,0.5196684538386762,0.008519154980961905,0.09229926858302781
28,0.4875009944662452,0.007991819581413855,0.08939697747359167
29,0.4926803174894303,0.008076726516220168,0.08987060985784044
30,0.5093138609081507,0.008349407555871323,0.09137509264493975
31,0.4615927340928465,0.007567094001522074,0.08698904529607204
32,0.4312703823670745,0.007070006268312697,0.0840833293127282
33,0.4254510262981057,0.0069746069884935365,0.0835141125109615
34,0.43714992702007294,0.007166392246230704,0.08465454651836901
35,0.4230558543931693,0.006935341875297857,0.08327870000965347
36,0.4077060443814844,0.006683705645598104,0.08175393351758742
37,0.431655011838302,0.007076311669480361,0.08412081591069098
38,0.4332358669489622,0.007102227327032167,0.08427471344971851
39,0.4023258888628334,0.0065955063748005475,0.08121272298599862
40,0.3960708286613226,0.006492964404283977,0.0805789327571666
41,0.3902954305522144,0.006398285746757612,0.07998928519969167
42,0.3896114220842719,0.006387072493184785,0.07991916224025866
43,0.40544630121439695,0.006646660675645851,0.08152705486920186
44,0.37266614753752947,0.006109281107172614,0.07816189037614568
45,0.3599491170607507,0.005900805197717225,0.07681669869056613
46,0.3896129298955202,0.006387097211401971,0.07991931688523102
47,0.3705977131612599,0.0060753723469059,0.07794467491051521
48,0.3809418356977403,0.006244948126192465,0.07902498418976409
49,0.39170310157351196,0.006421362320877245,0.08013340327776704
50,0.3849351420067251,0.006310412164044673,0.07943810272183414
51,0.38696689950302243,0.006343719663983974,0.0796474711713057
52,0.3842540089972317,0.006299246049134947,0.07936778974580902
